,index,Season,seasonStart,seasonEnd,team,opposition,result,ho/Aw,date,teamPoints,team_form_2games,team_form_3games,team_form_4games,team_form_5games,opp_form_2games,opp_form_3games,opp_form_4games,opp_form_5games,diff_2_game_form,diff_3_game_form,diff_4_game_form,diff_5_game_form,ho/Aw_binary,py_T_Leag_Pos,py_O_Leag_Pos,leagueDifference,monthNumber
3268,3268,2010-11,2010,2011,Bolton,Blackpool,Draw,Home,2010-11-27,1,6,7,10,10,4,4,5,8,2,3,5,2,1,14.0,21.0,-7.0,4
3269,3269,2010-11,2010,2011,Bolton,Man City,Loss,Away,2010-12-04,0,4,7,8,11,4,5,6,9,0,2,2,2,0,14.0,5.0,9.0,5
3270,3270,2010-11,2010,2011,Bolton,Blackburn,Win,Home,2010-12-12,3,1,4,7,8,3,6,6,9,-2,-2,1,-1,1,14.0,10.0,4.0,5
3271,3271,2010-11,2010,2011,Bolton,Sunderland,Loss,Away,2010-12-18,0,3,4,7,10,4,4,5,8,-1,0,2,2,0,14.0,13.0,1.0,5
3272,3272,2010-11,2010,2011,Bolton,West Brom,Win,Home,2010-12-26,3,3,3,4,7,3,6,6,6,0,-3,-2,1,1,14.0,21.0,-7.0,5
3273,3273,2010-11,2010,2011,Bolton,Chelsea,Loss,Away,2010-12-29,0,3,6,6,7,1,2,3,3,2,4,3,4,0,14.0,1.0,13.0,5
3274,3274,2010-11,2010,2011,Bolton,Liverpool,Loss,Away,2011-01-01,0,3,3,6,6,0,3,3,6,3,0,3,0,0,14.0,7.0,7.0,6
3275,3275,2010-11,2010,2011,Bolton,Wigan,Draw,Home,2011-01-05,1,0,3,3,6,1,4,5,6,-1,-1,-2,0,1,14.0,16.0,-2.0,6
3276,3276,2010-11,2010,2011,Bolton,Stoke,Loss,Away,2011-01-15,0,1,1,4,4,3,3,6,6,-2,-2,-2,-2,0,14.0,11.0,3.0,6
3277,3277,2010-11,2010,2011,Bolton,Chelsea,Loss,Home,2011-01-24,0,1,1,1,4,3,4,7,7,-2,-3,-6,-3,1,14.0,1.0,13.0,6
3278,3278,2010-11,2010,2011,Bolton,Wolves,Win,Home,2011-02-02,3,0,1,1,1,0,3,3,6,0,-2,-2,-5,1,14.0,15.0,-1.0,7
3279,3279,2010-11,2010,2011,Bolton,Tottenham,Loss,Away,2011-02-05,0,3,3,4,4,4,5,5,8,-1,-2,-1,-4,0,14.0,4.0,10.0,7
3280,3280,2010-11,2010,2011,Bolton,Everton,Win,Home,2011-02-13,3,3,3,3,4,3,4,5,8,0,-1,-2,-4,1,14.0,8.0,6.0,7
3281,3281,2010-11,2010,2011,Bolton,Newcastle,Draw,Away,2011-02-26,1,3,6,6,6,4,5,5,6,-1,1,1,0,0,14.0,21.0,-7.0,7
3282,3282,2010-11,2010,2011,Bolton,Aston Villa,Win,Home,2011-03-05,3,4,4,7,7,4,5,5,8,0,-1,2,-1,1,14.0,6.0,8.0,8
3283,3283,2010-11,2010,2011,Bolton,Man United,Loss,Away,2011-03-19,0,4,7,7,10,0,3,6,6,4,4,1,4,0,14.0,2.0,12.0,8
3284,3284,2010-11,2010,2011,Bolton,Birmingham,Loss,Away,2011-04-02,0,3,4,7,7,1,1,1,4,2,3,6,3,0,14.0,9.0,5.0,9
3285,3285,2010-11,2010,2011,Bolton,West Ham,Win,Home,2011-04-09,3,0,3,4,7,1,4,7,8,-1,-1,-3,-1,1,14.0,17.0,-3.0,9
3286,3286,2010-11,2010,2011,Bolton,Arsenal,Win,Home,2011-04-24,3,3,3,6,7,2,5,6,7,1,-2,0,0,1,14.0,3.0,11.0,9
3287,3287,2010-11,2010,2011,Bolton,Fulham,Loss,Away,2011-04-27,0,6,6,6,9,1,4,4,7,5,2,2,2,0,14.0,12.0,2.0,9
3288,3288,2010-11,2010,2011,Bolton,Blackburn,Loss,Away,2011-04-30,0,3,6,6,6,0,1,2,3,3,5,4,3,0,14.0,10.0,4.0,9
3289,3289,2010-11,2010,2011,Bolton,Sunderland,Loss,Home,2011-05-07,0,0,3,6,6,3,3,3,3,-3,0,3,3,1,14.0,13.0,1.0,10
3290,3290,2010-11,2010,2011,Bolton,Blackpool,Loss,Away,2011-05-14,0,0,0,3,6,2,3,3,3,-2,-3,0,3,0,14.0,21.0,-7.0,10
3291,3291,2010-11,2010,2011,Bolton,Man City,Loss,Home,2011-05-22,0,0,0,0,3,6,6,9,12,-6,-6,-9,-9,1,14.0,5.0,9.0,10
3292,3292,2011-12,2011,2012,Bolton,QPR,Win,Away,2011-08-13,3,0,0,0,0,3,3,6,6,-3,-3,-6,-6,0,14.0,21.0,-7.0,1
3293,3293,2011-12,2011,2012,Bolton,Man City,Loss,Home,2011-08-21,0,3,3,3,3,6,9,12,12,-3,-6,-9,-9,1,14.0,3.0,11.0,1
3294,3294,2011-12,2011,2012,Bolton,Liverpool,Loss,Away,2011-08-27,0,3,3,3,3,4,4,4,7,-1,-1,-1,-4,0,14.0,6.0,8.0,1
3295,3295,2011-12,2011,2012,Bolton,Man United,Loss,Home,2011-09-10,0,0,3,3,3,6,9,12,13,-6,-6,-9,-10,1,14.0,1.0,13.0,2
3296,3296,2011-12,2011,2012,Bolton,Norwich,Loss,Home,2011-09-17,0,0,0,3,3,0,1,2,2,0,-1,1,1,1,14.0,21.0,-7.0,2
3297,3297,2011-12,2011,2012,Bolton,Arsenal,Loss,Away,2011-09-24,0,0,0,0,3,3,3,3,4,-3,-3,-3,-1,0,14.0,4.0,10.0,2
3298,3298,2011-12,2011,2012,Bolton,Chelsea,Loss,Home,2011-10-02,0,0,0,0,0,3,6,9,12,-3,-6,-9,-12,1,14.0,2.0,12.0,3
3299,3299,2011-12,2011,2012,Bolton,Wigan,Win,Away,2011-10-15,3,0,0,0,0,0,0,0,3,0,0,0,-3,0,14.0,16.0,-2.0,3
3300,3300,2011-12,2011,2012,Bolton,Sunderland,Loss,Home,2011-10-22,0,3,3,3,3,1,1,4,4,2,2,-1,-1,1,14.0,10.0,4.0,3
3301,3301,2011-12,2011,2012,Bolton,Swansea,Loss,Away,2011-10-29,0,3,3,3,3,1,4,4,7,2,-1,-1,-4,0,14.0,21.0,-7.0,3
3302,3302,2011-12,2011,2012,Bolton,Stoke,Win,Home,2011-11-06,3,0,3,3,3,0,3,3,4,0,0,0,-1,1,14.0,13.0,1.0,4
3303,3303,2011-12,2011,2012,Bolton,West Brom,Loss,Away,2011-11-19,0,3,3,6,6,0,3,6,7,3,0,0,-1,0,14.0,11.0,3.0,4
3304,3304,2011-12,2011,2012,Bolton,Everton,Loss,Home,2011-11-26,0,3,3,3,6,3,3,6,6,0,0,-3,0,1,14.0,7.0,7.0,4
3305,3305,2011-12,2011,2012,Bolton,Tottenham,Loss,Away,2011-12-03,0,0,3,3,3,6,9,12,15,-6,-6,-9,-12,0,14.0,5.0,9.0,5
3306,3306,2011-12,2011,2012,Bolton,Aston Villa,Loss,Home,2011-12-10,0,0,0,3,3,1,1,4,5,-1,-1,-1,-2,1,14.0,9.0,5.0,5
3307,3307,2011-12,2011,2012,Bolton,Fulham,Loss,Away,2011-12-17,0,0,0,0,3,3,4,5,5,-3,-4,-5,-2,0,14.0,8.0,6.0,5
3308,3308,2011-12,2011,2012,Bolton,Blackburn,Win,Away,2011-12-20,3,0,0,0,0,0,3,3,4,0,-3,-3,-4,0,14.0,15.0,-1.0,5
3309,3309,2011-12,2011,2012,Bolton,Newcastle,Loss,Home,2011-12-26,0,3,3,3,3,1,1,1,2,2,2,2,1,1,14.0,12.0,2.0,5
3310,3310,2011-12,2011,2012,Bolton,Wolves,Draw,Home,2011-12-31,1,3,3,3,3,2,2,2,5,1,1,1,-2,1,14.0,17.0,-3.0,5
3311,3311,2011-12,2011,2012,Bolton,Everton,Win,Away,2012-01-04,3,1,4,4,4,4,7,8,8,-3,-3,-4,-4,0,14.0,7.0,7.0,6
3312,3312,2011-12,2011,2012,Bolton,Man United,Loss,Away,2012-01-14,0,4,4,7,7,0,3,6,9,4,1,1,-2,0,14.0,1.0,13.0,6
3313,3313,2011-12,2011,2012,Bolton,Liverpool,Win,Home,2012-01-21,3,3,4,4,7,1,4,5,6,2,0,-1,1,1,14.0,6.0,8.0,6
3314,3314,2011-12,2011,2012,Bolton,Arsenal,Draw,Home,2012-02-01,1,3,6,7,7,0,0,3,4,3,6,4,3,1,14.0,4.0,10.0,7
3315,3315,2011-12,2011,2012,Bolton,Norwich,Loss,Away,2012-02-04,0,4,4,7,8,1,4,7,8,3,0,0,0,0,14.0,21.0,-7.0,7
3316,3316,2011-12,2011,2012,Bolton,Wigan,Loss,Home,2012-02-11,0,1,4,4,7,1,1,1,1,0,3,3,6,1,14.0,16.0,-2.0,7
3317,3317,2011-12,2011,2012,Bolton,Chelsea,Loss,Away,2012-02-25,0,0,1,4,4,1,2,3,6,-1,-1,1,-2,0,14.0,2.0,12.0,7
3318,3318,2011-12,2011,2012,Bolton,Man City,Loss,Away,2012-03-03,0,0,0,1,4,6,9,9,12,-6,-9,-8,-8,0,14.0,3.0,11.0,8
3319,3319,2011-12,2011,2012,Bolton,QPR,Win,Home,2012-03-10,3,0,0,0,1,1,1,1,2,-1,-1,-1,-1,1,14.0,21.0,-7.0,8
3320,3320,2011-12,2011,2012,Bolton,Blackburn,Win,Home,2012-03-24,3,3,3,3,3,6,7,7,10,-3,-4,-4,-7,1,14.0,15.0,-1.0,8
3321,3321,2011-12,2011,2012,Bolton,Wolves,Win,Away,2012-03-31,3,6,6,6,6,0,0,0,1,6,6,6,5,0,14.0,17.0,-3.0,8
3322,3322,2011-12,2011,2012,Bolton,Fulham,Loss,Home,2012-04-07,0,6,9,9,9,3,3,3,6,3,6,6,3,1,14.0,8.0,6.0,9
3323,3323,2011-12,2011,2012,Bolton,Newcastle,Loss,Away,2012-04-09,0,3,6,9,9,6,9,12,12,-3,-3,-3,-3,0,14.0,12.0,2.0,9
3324,3324,2011-12,2011,2012,Bolton,Swansea,Draw,Home,2012-04-21,1,0,3,6,9,3,3,3,3,-3,0,3,6,1,14.0,21.0,-7.0,9
3325,3325,2011-12,2011,2012,Bolton,Aston Villa,Win,Away,2012-04-24,3,1,1,4,7,1,2,3,3,0,-1,1,4,0,14.0,9.0,5.0,9
3326,3326,2011-12,2011,2012,Bolton,Sunderland,Draw,Away,2012-04-28,1,4,4,4,7,2,2,3,4,2,2,1,3,0,14.0,10.0,4.0,9
3327,3327,2011-12,2011,2012,Bolton,Tottenham,Loss,Home,2012-05-02,0,4,5,5,5,3,3,4,7,1,2,1,-2,1,14.0,5.0,9.0,10
3328,3328,2011-12,2011,2012,Bolton,West Brom,Draw,Home,2012-05-06,1,1,4,5,5,4,7,7,10,-3,-3,-2,-5,1,14.0,11.0,3.0,10
3329,3329,2011-12,2011,2012,Bolton,Stoke,Draw,Away,2012-05-13,1,1,2,5,6,1,2,2,3,0,0,3,3,0,14.0,13.0,1.0,10
3330,3330,2015-16,2015,2016,Bournemouth,Aston Villa,Loss,Home,2015-08-08,0,0,0,0,0,0,3,6,6,0,-3,-6,-6,1,21.0,17.0,4.0,1
3331,3331,2015-16,2015,2016,Bournemouth,Liverpool,Loss,Away,2015-08-17,0,0,0,0,0,3,3,4,7,-3,-3,-4,-7,0,21.0,6.0,15.0,1
3332,3332,2015-16,2015,2016,Bournemouth,West Ham,Win,Away,2015-08-22,3,0,0,0,0,3,3,3,3,-3,-3,-3,-3,0,21.0,12.0,9.0,1
3333,3333,2015-16,2015,2016,Bournemouth,Leicester,Draw,Home,2015-08-29,1,3,3,3,3,4,7,10,11,-1,-4,-7,-8,1,21.0,14.0,7.0,1
3334,3334,2015-16,2015,2016,Bournemouth,Norwich,Loss,Away,2015-09-12,0,4,4,4,4,1,4,4,4,3,0,0,0,0,21.0,21.0,0.0,2
3335,3335,2015-16,2015,2016,Bournemouth,Sunderland,Win,Home,2015-09-19,3,1,4,4,4,1,2,2,2,0,2,2,2,1,21.0,16.0,5.0,2
3336,3336,2015-16,2015,2016,Bournemouth,Stoke,Loss,Away,2015-09-26,0,3,4,7,7,1,1,2,3,2,3,5,4,0,21.0,9.0,12.0,2
3337,3337,2015-16,2015,2016,Bournemouth,Watford,Draw,Home,2015-10-03,1,3,3,4,7,3,6,6,7,0,-3,-2,0,1,21.0,21.0,0.0,3
3338,3338,2015-16,2015,2016,Bournemouth,Man City,Loss,Away,2015-10-17,0,1,4,4,5,3,3,6,9,-2,1,-2,-4,0,21.0,2.0,19.0,3
3339,3339,2015-16,2015,2016,Bournemouth,Tottenham,Loss,Home,2015-10-25,0,1,1,4,4,2,5,8,11,-1,-4,-4,-7,1,21.0,5.0,16.0,3
3340,3340,2015-16,2015,2016,Bournemouth,Southampton,Loss,Away,2015-11-01,0,0,1,1,4,2,5,8,8,-2,-4,-7,-4,0,21.0,7.0,14.0,4
3341,3341,2015-16,2015,2016,Bournemouth,Newcastle,Loss,Home,2015-11-07,0,0,0,1,1,1,4,4,5,-1,-4,-3,-4,1,21.0,15.0,6.0,4
3342,3342,2015-16,2015,2016,Bournemouth,Swansea,Draw,Away,2015-11-21,1,0,0,0,1,0,3,3,4,0,-3,-3,-3,0,21.0,8.0,13.0,4
3343,3343,2015-16,2015,2016,Bournemouth,Everton,Draw,Home,2015-11-28,1,1,1,1,1,4,7,7,7,-3,-6,-6,-6,1,21.0,11.0,10.0,4
3344,3344,2015-16,2015,2016,Bournemouth,Chelsea,Win,Away,2015-12-05,3,2,2,2,2,4,4,4,4,-2,-2,-2,-2,0,21.0,1.0,20.0,5
3345,3345,2015-16,2015,2016,Bournemouth,Man United,Win,Home,2015-12-12,3,4,5,5,5,2,5,8,9,2,0,-3,-4,1,21.0,4.0,17.0,5
3346,3346,2015-16,2015,2016,Bournemouth,West Brom,Win,Away,2015-12-19,3,6,7,8,8,2,3,6,6,4,4,2,2,0,21.0,13.0,8.0,5
3347,3347,2015-16,2015,2016,Bournemouth,Crystal Palace,Draw,Home,2015-12-26,1,6,9,10,11,6,7,10,10,0,2,0,1,1,21.0,10.0,11.0,5
3348,3348,2015-16,2015,2016,Bournemouth,Arsenal,Loss,Away,2015-12-28,0,4,7,10,11,3,6,9,10,1,1,1,1,0,21.0,3.0,18.0,5
3349,3349,2015-16,2015,2016,Bournemouth,Leicester,Draw,Away,2016-01-02,1,1,4,7,10,1,4,7,10,0,0,0,0,0,21.0,14.0,7.0,6
3350,3350,2015-16,2015,2016,Bournemouth,West Ham,Loss,Home,2016-01-12,0,1,2,5,8,6,7,8,9,-5,-5,-3,-1,1,21.0,12.0,9.0,6
3351,3351,2015-16,2015,2016,Bournemouth,Norwich,Win,Home,2016-01-16,3,1,1,2,5,3,6,6,9,-2,-5,-4,-4,1,21.0,21.0,0.0,6
3352,3352,2015-16,2015,2016,Bournemouth,Sunderland,Draw,Away,2016-01-23,1,3,4,4,5,3,6,6,6,0,-2,-2,-1,0,21.0,16.0,5.0,6
3353,3353,2015-16,2015,2016,Bournemouth,Crystal Palace,Win,Away,2016-02-02,3,4,4,5,5,0,0,0,1,4,4,5,4,0,21.0,10.0,11.0,7
3354,3354,2015-16,2015,2016,Bournemouth,Arsenal,Loss,Home,2016-02-07,0,4,7,7,8,1,2,3,6,3,5,4,2,1,21.0,3.0,18.0,7
3355,3355,2015-16,2015,2016,Bournemouth,Stoke,Loss,Home,2016-02-13,0,3,4,7,7,0,0,1,4,3,4,6,3,1,21.0,9.0,12.0,7
3356,3356,2015-16,2015,2016,Bournemouth,Watford,Draw,Away,2016-02-27,1,0,3,4,7,3,4,7,7,-3,-1,-3,0,0,21.0,21.0,0.0,7
3357,3357,2015-16,2015,2016,Bournemouth,Southampton,Win,Home,2016-03-01,3,1,1,4,5,3,6,7,10,-2,-5,-3,-5,1,21.0,7.0,14.0,8
3358,3358,2015-16,2015,2016,Bournemouth,Newcastle,Win,Away,2016-03-05,3,4,4,4,7,0,3,3,3,4,1,1,4,0,21.0,15.0,6.0,8
3359,3359,2015-16,2015,2016,Bournemouth,Swansea,Win,Home,2016-03-12,3,6,7,7,7,6,6,6,7,0,1,1,0,1,21.0,8.0,13.0,8
3360,3360,2015-16,2015,2016,Bournemouth,Tottenham,Loss,Away,2016-03-20,0,6,9,10,10,4,4,7,10,2,5,3,0,0,21.0,5.0,16.0,8
3361,3361,2015-16,2015,2016,Bournemouth,Man City,Loss,Home,2016-04-02,0,3,6,9,10,1,4,4,4,2,2,5,6,1,21.0,2.0,19.0,9
3362,3362,2015-16,2015,2016,Bournemouth,Aston Villa,Win,Away,2016-04-09,3,0,3,6,9,0,0,0,0,0,3,6,9,0,21.0,17.0,4.0,9
3363,3363,2015-16,2015,2016,Bournemouth,Liverpool,Loss,Home,2016-04-17,0,3,3,6,9,4,4,7,10,-1,-1,-1,-1,1,21.0,6.0,15.0,9
3364,3364,2015-16,2015,2016,Bournemouth,Chelsea,Loss,Home,2016-04-23,0,3,3,3,6,0,3,4,5,3,0,-1,1,1,21.0,1.0,20.0,9
3365,3365,2015-16,2015,2016,Bournemouth,Everton,Loss,Away,2016-04-30,0,0,3,3,3,1,2,3,3,-1,1,0,0,0,21.0,11.0,10.0,9
3366,3366,2015-16,2015,2016,Bournemouth,West Brom,Draw,Home,2016-05-07,1,0,0,3,3,1,1,1,1,-1,-1,2,2,1,21.0,13.0,8.0,10
3367,3367,2015-16,2015,2016,Bournemouth,Man United,Loss,Away,2016-05-17,0,1,1,1,4,3,4,7,10,-2,-3,-6,-6,0,21.0,4.0,17.0,10
3368,3368,2016-17,2016,2017,Bournemouth,Man United,Loss,Home,2016-08-14,0,1,1,1,1,3,6,7,10,-2,-5,-6,-9,1,16.0,5.0,11.0,1
3369,3369,2016-17,2016,2017,Bournemouth,West Ham,Loss,Away,2016-08-21,0,0,1,1,1,0,3,3,6,0,-2,-2,-5,0,16.0,7.0,9.0,1
3370,3370,2016-17,2016,2017,Bournemouth,Crystal Palace,Draw,Away,2016-08-27,1,0,0,1,1,0,0,3,3,0,0,-2,-2,0,16.0,15.0,1.0,1
3371,3371,2016-17,2016,2017,Bournemouth,West Brom,Win,Home,2016-09-10,3,1,1,1,2,1,4,5,6,0,-3,-4,-4,1,16.0,14.0,2.0,2
3372,3372,2016-17,2016,2017,Bournemouth,Man City,Loss,Away,2016-09-17,0,4,4,4,4,6,9,12,13,-2,-5,-8,-9,0,16.0,4.0,12.0,2
3373,3373,2016-17,2016,2017,Bournemouth,Everton,Win,Home,2016-09-24,3,3,4,4,4,6,9,12,13,-3,-5,-8,-9,1,16.0,11.0,5.0,2
3374,3374,2016-17,2016,2017,Bournemouth,Watford,Draw,Away,2016-10-01,1,3,6,7,7,3,6,6,6,0,0,1,1,0,16.0,13.0,3.0,3
3375,3375,2016-17,2016,2017,Bournemouth,Hull,Win,Home,2016-10-15,3,4,4,7,8,0,0,1,1,4,4,6,7,1,16.0,21.0,-5.0,3
3376,3376,2016-17,2016,2017,Bournemouth,Tottenham,Draw,Home,2016-10-22,1,4,7,7,10,4,7,10,13,0,0,-3,-3,1,16.0,3.0,13.0,3
3377,3377,2016-17,2016,2017,Bournemouth,Middlesbrough,Loss,Away,2016-10-29,0,4,5,8,8,1,2,2,2,3,3,6,6,0,16.0,21.0,-5.0,3
3378,3378,2016-17,2016,2017,Bournemouth,Sunderland,Loss,Home,2016-11-05,0,1,4,5,8,0,0,1,1,1,4,4,7,1,16.0,17.0,-1.0,4
3379,3379,2016-17,2016,2017,Bournemouth,Stoke,Win,Away,2016-11-19,3,0,1,4,5,4,7,10,11,-4,-6,-6,-6,0,16.0,9.0,7.0,4
3380,3380,2016-17,2016,2017,Bournemouth,Arsenal,Loss,Away,2016-11-27,0,3,3,4,7,2,5,6,9,1,-2,-2,-2,0,16.0,2.0,14.0,4
3381,3381,2016-17,2016,2017,Bournemouth,Liverpool,Win,Home,2016-12-04,3,3,3,3,4,4,7,10,13,-1,-4,-7,-9,1,16.0,8.0,8.0,5
3382,3382,2016-17,2016,2017,Bournemouth,Burnley,Loss,Away,2016-12-10,0,3,6,6,6,0,0,3,4,3,6,3,2,0,16.0,21.0,-5.0,5
3383,3383,2016-17,2016,2017,Bournemouth,Leicester,Win,Home,2016-12-13,3,3,3,6,6,3,4,4,4,0,-1,2,2,1,16.0,1.0,15.0,5
3384,3384,2016-17,2016,2017,Bournemouth,Southampton,Loss,Home,2016-12-18,0,3,6,6,9,4,4,7,8,-1,2,-1,1,1,16.0,6.0,10.0,5
3385,3385,2016-17,2016,2017,Bournemouth,Chelsea,Loss,Away,2016-12-26,0,3,3,6,6,6,9,12,15,-3,-6,-6,-9,0,16.0,10.0,6.0,5
3386,3386,2016-17,2016,2017,Bournemouth,Swansea,Win,Away,2016-12-31,3,0,3,3,6,0,0,3,3,0,3,0,3,0,16.0,12.0,4.0,5
3387,3387,2016-17,2016,2017,Bournemouth,Arsenal,Draw,Home,2017-01-03,1,3,3,6,6,6,6,6,9,-3,-3,0,-3,1,16.0,2.0,14.0,6
3388,3388,2016-17,2016,2017,Bournemouth,Hull,Loss,Away,2017-01-14,0,4,4,4,7,1,1,1,1,3,3,3,6,0,16.0,21.0,-5.0,6
3389,3389,2016-17,2016,2017,Bournemouth,Watford,Draw,Home,2017-01-21,1,1,4,4,4,1,1,2,2,0,3,2,2,1,16.0,13.0,3.0,6
3390,3390,2016-17,2016,2017,Bournemouth,Crystal Palace,Loss,Home,2017-01-31,0,1,2,5,5,0,0,0,1,1,2,5,4,1,16.0,15.0,1.0,6
3391,3391,2016-17,2016,2017,Bournemouth,Everton,Loss,Away,2017-02-04,0,1,1,2,5,4,7,10,11,-3,-6,-8,-6,0,16.0,11.0,5.0,7
3392,3392,2016-17,2016,2017,Bournemouth,Man City,Loss,Home,2017-02-13,0,0,1,1,2,6,7,7,10,-6,-6,-6,-8,1,16.0,4.0,12.0,7
3393,3393,2016-17,2016,2017,Bournemouth,West Brom,Loss,Away,2017-02-25,0,0,0,1,1,4,5,8,8,-4,-5,-7,-7,0,16.0,14.0,2.0,7
3394,3394,2016-17,2016,2017,Bournemouth,Man United,Draw,Away,2017-03-04,1,0,0,0,1,6,7,8,9,-6,-7,-8,-8,0,16.0,5.0,11.0,8
3395,3395,2016-17,2016,2017,Bournemouth,West Ham,Win,Home,2017-03-11,3,1,1,1,1,1,2,5,5,0,-1,-4,-4,1,16.0,7.0,9.0,8
3396,3396,2016-17,2016,2017,Bournemouth,Swansea,Win,Home,2017-03-18,3,4,4,4,4,3,3,6,6,1,1,-2,-2,1,16.0,12.0,4.0,8
3397,3397,2016-17,2016,2017,Bournemouth,Southampton,Draw,Away,2017-04-01,1,6,7,7,7,3,6,6,6,3,1,1,1,0,16.0,6.0,10.0,9
3398,3398,2016-17,2016,2017,Bournemouth,Liverpool,Draw,Away,2017-04-05,1,4,7,8,8,4,7,10,10,0,0,-2,-2,0,16.0,8.0,8.0,9
3399,3399,2016-17,2016,2017,Bournemouth,Chelsea,Loss,Home,2017-04-08,0,2,5,8,9,3,6,9,12,-1,-1,-1,-3,1,16.0,10.0,6.0,9
3400,3400,2016-17,2016,2017,Bournemouth,Tottenham,Loss,Away,2017-04-15,0,1,2,5,8,6,9,12,15,-5,-7,-7,-7,0,16.0,3.0,13.0,9
3401,3401,2016-17,2016,2017,Bournemouth,Middlesbrough,Win,Home,2017-04-22,3,0,1,2,5,1,1,2,2,-1,0,0,3,1,16.0,21.0,-5.0,9
3402,3402,2016-17,2016,2017,Bournemouth,Sunderland,Win,Away,2017-04-29,3,3,3,4,5,1,1,1,1,2,2,3,4,0,16.0,17.0,-1.0,9
3403,3403,2016-17,2016,2017,Bournemouth,Stoke,Draw,Home,2017-05-06,1,6,6,6,7,1,4,4,4,5,2,2,3,1,16.0,9.0,7.0,10
3404,3404,2016-17,2016,2017,Bournemouth,Burnley,Win,Home,2017-05-13,3,4,7,7,7,4,4,4,5,0,3,3,2,1,16.0,21.0,-5.0,10
3405,3405,2016-17,2016,2017,Bournemouth,Leicester,Draw,Away,2017-05-21,1,4,7,10,10,0,3,6,6,4,4,4,4,0,16.0,1.0,15.0,10
3406,3406,2017-18,2017,2018,Bournemouth,West Brom,Loss,Away,2017-08-12,0,4,5,8,11,0,0,1,1,4,5,7,10,0,9.0,10.0,-1.0,1
3407,3407,2017-18,2017,2018,Bournemouth,Watford,Loss,Home,2017-08-19,0,1,4,5,8,1,1,1,1,0,3,4,7,1,9.0,17.0,-8.0,1
3408,3408,2017-18,2017,2018,Bournemouth,Man City,Loss,Home,2017-08-26,0,0,1,4,5,4,7,10,13,-4,-6,-6,-8,1,9.0,3.0,6.0,1
3409,3409,2017-18,2017,2018,Bournemouth,Arsenal,Loss,Away,2017-09-09,0,0,0,1,4,0,3,6,9,0,-3,-5,-5,0,9.0,5.0,4.0,2
3410,3410,2017-18,2017,2018,Bournemouth,Brighton,Win,Home,2017-09-15,3,0,0,0,1,4,4,4,4,-4,-4,-4,-3,1,9.0,21.0,-12.0,2
3411,3411,2017-18,2017,2018,Bournemouth,Everton,Loss,Away,2017-09-23,0,3,3,3,3,0,0,1,4,3,3,2,-1,0,9.0,7.0,2.0,2
3412,3412,2017-18,2017,2018,Bournemouth,Leicester,Draw,Home,2017-09-30,1,3,3,3,3,1,1,1,4,2,2,2,-1,1,9.0,12.0,-3.0,2
3413,3413,2017-18,2017,2018,Bournemouth,Tottenham,Loss,Away,2017-10-14,0,1,4,4,4,6,7,10,11,-5,-3,-6,-7,0,9.0,2.0,7.0,3
3414,3414,2017-18,2017,2018,Bournemouth,Stoke,Win,Away,2017-10-21,3,1,1,4,4,3,3,3,4,-2,-2,1,0,0,9.0,13.0,-4.0,3
3415,3415,2017-18,2017,2018,Bournemouth,Chelsea,Loss,Home,2017-10-28,0,3,4,4,7,3,3,6,7,0,1,-2,0,1,9.0,1.0,8.0,3
3416,3416,2017-18,2017,2018,Bournemouth,Newcastle,Win,Away,2017-11-04,3,3,3,4,4,3,4,5,5,0,-1,-1,-1,0,9.0,21.0,-12.0,4
3417,3417,2017-18,2017,2018,Bournemouth,Huddersfield,Win,Home,2017-11-18,3,3,6,6,7,3,6,6,6,0,0,0,1,1,9.0,21.0,-12.0,4
3418,3418,2017-18,2017,2018,Bournemouth,Swansea,Draw,Away,2017-11-25,1,6,6,9,9,0,0,0,3,6,6,9,6,0,9.0,15.0,-6.0,4
3419,3419,2017-18,2017,2018,Bournemouth,Burnley,Loss,Home,2017-11-29,0,4,7,7,10,3,6,9,9,1,1,-2,1,1,9.0,16.0,-7.0,4
3420,3420,2017-18,2017,2018,Bournemouth,Southampton,Draw,Home,2017-12-03,1,1,4,7,7,3,3,3,4,-2,1,4,3,1,9.0,8.0,1.0,5
3421,3421,2017-18,2017,2018,Bournemouth,Crystal Palace,Draw,Away,2017-12-09,1,1,2,5,8,2,5,6,6,-1,-3,-1,2,0,9.0,14.0,-5.0,5
3422,3422,2017-18,2017,2018,Bournemouth,Man United,Loss,Away,2017-12-13,0,2,2,3,6,3,6,9,12,-1,-4,-6,-6,0,9.0,6.0,3.0,5
3423,3423,2017-18,2017,2018,Bournemouth,Liverpool,Loss,Home,2017-12-17,0,1,2,2,3,2,5,8,9,-1,-3,-6,-6,1,9.0,4.0,5.0,5
3424,3424,2017-18,2017,2018,Bournemouth,Man City,Loss,Away,2017-12-23,0,0,1,2,2,6,9,12,15,-6,-8,-10,-13,0,9.0,3.0,6.0,5
3425,3425,2017-18,2017,2018,Bournemouth,West Ham,Draw,Home,2017-12-26,1,0,0,1,2,3,4,7,7,-3,-4,-6,-5,1,9.0,11.0,-2.0,5
3426,3426,2017-18,2017,2018,Bournemouth,Everton,Win,Home,2017-12-30,3,1,1,1,2,2,5,8,9,-1,-4,-7,-7,1,9.0,7.0,2.0,5
